transaction_key,attacker,time,victim
"('0x6e7130693983e50e426770efa0825e94da6889fc2f31a6b2d207747b02614a9b', 0)",0x80390251dcb87381b37bc27c794386e23d51d83c,25,0x85149247691df622eaf1a8bd0cafd40bc45154a9
"('0xc69fabd4976883ef7868009683b90bc84373bd1ad5039892094b82b19794d069', 4)",0xa7bb0d95c6ba0ed0aca70c503b34bc7108589a47,93,0x2e4260fcb0bc5502cfc104386b423933830eddbd
"('0x7bc3b4838bb8ec9de120f3580e845fa74872eef4ce66698389186e32491a9868', 44)",0x03a9dc118b231480058e7a3b051042ec83663794,277,0xafea5601b0a894451955355e79ad3026515e500d
"('0x90f6d55ffeeda7dc11bd486bae1c43442d7e2b005576f6d8b0c7c2ac911f5b3d', 84)",0x8e3b66ed6865ce6ac5a9c64e5099e86c7cdab6be,12,0x79c912fef520be002c2b6e57ec4324e260f38e50
"('0xfb2e120a167b1463f5da80b568d256f3405b1a78001275810421b708ad39e5e8', 0)",0x32f6c714ec487cb0e0dabb5d501ac803e2fe0f99,362,0x513c7e3a9c69ca3e22550ef58ac1c0088e918fff
"('0x58091ffe7c88d24f7ca33436909b24a5c99f6a6489665889732b3731ace2c41f', 24)",0xa7bb0d95c6ba0ed0aca70c503b34bc7108589a47,54,0xa7bece50518d9d72bb7103bd46c352b16cd08201
"('0x714d0cbe96b07dd6305652db8e5c72bc175992bb8115cda3ca8d902d6627290d', 22)",0x03a9dc118b231480058e7a3b051042ec83663794,28,0xafea5601b0a894451955355e79ad3026515e500d
"('0x1aa4f4d795c6e24aef1fc283cc3f5dabb35f53c50133231a6a847687604b69d9', 0)",0xdecc0c09c3b5f6e92ef4184125d5648a66e35298,215,0xdec38b0c755a7cd69d176ef0cd9d30a2a2a667b2
"('0x6e848ef18efab3aee09621943f099922e31c0b134f638648ff4f3bd5f87ada74', 0)",0xdecc0c09c3b5f6e92ef4184125d5648a66e35298,108,0xdec38b0c755a7cd69d176ef0cd9d30a2a2a667b2
"('0x31fb9115c687fd95cafdcfaadd292918050c24cd81d56584640c2427a875f210', 76)",0x8e3b66ed6865ce6ac5a9c64e5099e86c7cdab6be,326,0x79c912fef520be002c2b6e57ec4324e260f38e50
"('0x60bf2fadab3cc844abcfead069560345f28f6b839a772afe2b7e104efba3fbb5', 12)",0xa7bb0d95c6ba0ed0aca70c503b34bc7108589a47,10,0xa7b2395a14269e3d79952a378a597e94768ddd16
"('0x3065996c6150e75a884c31247524778b61c541e12e848e2951dc0041f85d7d83', 64)",0xa7bb0d95c6ba0ed0aca70c503b34bc7108589a47,4,0xa7b9b0bd1ca59a8012be4663bba0203d5beb7303
"('0x287b91d65bd709c202de09b500e5ee1dffb2184be9012d58395c8384f5b2299e', 16)",0x55dccde11777c699b521774073c4736344797fc5,314,0x73b14a78a0d396c521f954532d43fd5ffe385216
"('0x94c27756d2cc531885dd07735144556a698507ec14062a84409df0e8f73a4ceb', 6)",0x1aa298ae7c53d8dafa200ed49608649bfa76a446,10,0x1aa9b4d9933ff96b2011fddd764240d4a16b7c07
"('0x0e48bddb0fd1ee76b0e3e507e5737968e04e9f1de89d80859a685533eccbb743', 6)",0x57507436bb75fe9c58a3c44f3b514df3a3f0fcc6,172,0xa7bb0d95c6ba0ed0aca70c503b34bc7108589a47
"('0xb9af5d8b7d9b06ac5f3bc580412a78e5a9e497fe96419a596d626cc98a77cbb3', 50)",0x03a9dc118b231480058e7a3b051042ec83663794,53,0xafea5601b0a894451955355e79ad3026515e500d
"('0x039da238cabd9741f74e2f163090b322b30f914e479b58b671909f95206d0059', 10)",0xdef171fe48cf0115b1d80b88dc8eab59176fee57,302,0x6da98bde0068d10ddd11b468b197ea97d96f96bc
"('0x4ce9c62c8015b558cc324287a522f1a8324fba1ce9711778dad3cca694d3753a', 66)",0xa7bb0d95c6ba0ed0aca70c503b34bc7108589a47,570,0xa43742420a1449e38b05d09e29b027cdb1347780
"('0x35fa67755afe3c737ee8da76728c938988512440696b2334732e45f31a03fcf8', 188)",0x73b14a78a0d396c521f954532d43fd5ffe385216,114,0x3040387c46e21b453e4a8f648528368b9066628b
"('0x966e31e2b54cfd9cee6e01f4db8e3392be0fc91a170df335f2ea16fb62da923c', 30)",0xd1778f9df3eee5473a9640f13682e3846f61febc,288,0xafea5601b0a894451955355e79ad3026515e500d
"('0xc3288b78ab2113646ef4083f90ac07ffc2d5fb6c28bd3531e0b59756568907af', 34)",0xc291cee6c19f8d4d8d3f6a452562d9ec31934529,504,0x1ec50880101022c11530a069690f5446d1464592
"('0xd6fe9f26b73ec204c54b7f947c42f550bf6ca23513fa45f85ea27a97f17aa817', 4)",0x2e81af33264e8709a453b9660af5c6ff70f50343,53,0xeb94eca012ec0bbb254722fdda2ce7475875a52b
"('0xec718efaa5cfb81a3a549f2212d96f96997c30832045693a4f93bbd38d6a089f', 0)",0xc5ec1ad08eeb0d9ad727a16ea27bf974b8d5a07f,137,0xf1f199342687a7d78bcc16fce79fa2665ef870e1
"('0x03670ab8547e2973e6a77a52c80e4b12c026a35d252d3de3689b5dee63a8e51c', 12)",0x0000000002f4dd78ba85fe4b662983816c9ae95f,307,0x3ee9cdceffcb7ad611b87cb8e0f0745188330aee
"('0x6e64b4a0b411d53ae76d545d89df5e955d1dfeab21f4c15df40386c0c49e6cbf', 56)",0x8e3b66ed6865ce6ac5a9c64e5099e86c7cdab6be,76,0x79c912fef520be002c2b6e57ec4324e260f38e50
"('0x5da3d3e8bd5e4f073fcb097d6f81684d0f4d3c2ef678618a261bf7d615c13067', 14)",0xec8b0f7ffe3ae75d7ffab09429e3675bb63503e4,38,0x50a29ed2f347f8f3ea60b90e12e160e21c611514
"('0x774a8d5da72dc2e999c4e50967399990a1a63dbf55705bdf6ad3c277dc46b88d', 0)",0xbea51908f7c3c6cae03a3724ad43f8d03399b876,177,0xd1778f9df3eee5473a9640f13682e3846f61febc
"('0x39ef3cbd261d542ba3e9714618220975e3f3640d4abcb305a6ef993ded134b2c', 16)",0xa7bb0d95c6ba0ed0aca70c503b34bc7108589a47,49,0xa7b1bf31466d904ae3e07427b7af06b3e79ce3b9
"('0x524408faf562af43cac6e622e4a5dc8c70eb9e520e7a2a59ae462d7e2cf2d73a', 84)",0x73b14a78a0d396c521f954532d43fd5ffe385216,575,0x3040387c46e21b453e4a8f648528368b9066628b
"('0xcc69f495b6ae76cb2ccd3e00d18a022c9494c83120d73f31c4be64716928173a', 26)",0xd458820e4298259d13b83853a27467c6f6ae1d69,277,0xd458820e4298259d13b83853a27467c6f6ae1d69
"('0xb35c2d0601ba07a6ea65ada08409d86efb22506e9dcf5dafa0762c365b157a7e', 86)",0x8e3b66ed6865ce6ac5a9c64e5099e86c7cdab6be,183,0x79c912fef520be002c2b6e57ec4324e260f38e50
"('0x149cd6f208f6589ca01bd68da83bd6c6c7045774b0d841e2500362190f32bdba', 0)",0x85c31ffa3706d1cce9d525a00f1c7d4a2911754c,12,0x85ca4a95abb8e8a37a228e2721210000539684ad
"('0x82dd47260b100c4617ccf76a3fd04b60c5e5ddea67023b413c19660498cf7fea', 68)",0x8e3b66ed6865ce6ac5a9c64e5099e86c7cdab6be,24,0x79c912fef520be002c2b6e57ec4324e260f38e50
"('0xbebb8b4259d2dd0a39df506bb23fe7b621efe392350da5503341c9f07d5c01fe', 38)",0x4c5d5234f232bd2d76b96aa33f5ae4fcf0e4bfab,174,0x95d9d28606ee55de7667f0f176ebfc3215cfd9c0
"('0x75b158ead92581e0c684c4371fd90d83efcb74538e205f334c4282ae4809c470', 52)",0xb634f40d77600db4a61458af9312c7925a2d65d1,26,0xb6398fad2f8d238afd3a522a8ceafd400e71ef62
"('0x2e5f735dfced98457797059a865202e34bdba818af7e86702769fbad4a35fac5', 2)",0x5130f6ce257b8f9bf7fac0a0b519bd588120ed40,352,0xf0694acc9e941b176e17b9ef923e71e7b8b2477a
"('0xbdc41d0bed1828342feb28a8e1e79f0961e00cb496afe4a4936b3ec610570a81', 14)",0xa3128d9b7cca7d5af29780a56abeec12b05a6740,13,0x9a065e500cdcd01c0a506b0eb1a8b060b0ce1379
"('0xf99dec87082a8fca1ba3df383e82e3f8810bef710e5ac3c41412c03f6b13b8cc', 6)",0x95d9d28606ee55de7667f0f176ebfc3215cfd9c0,30,0x4c5d5234f232bd2d76b96aa33f5ae4fcf0e4bfab
"('0xd4eca677b9390bf0b2e805f1ca16b33ed3e5db1b6217112134737b6c4eab1323', 18)",0xa7bb0d95c6ba0ed0aca70c503b34bc7108589a47,5,0xa7beb69374263a6c845fa75fe8f75a78015eb0c3
"('0xd2e8808dc283c835babbfac5718fc6568616e101449ecafe9484aad299d21b87', 62)",0xe710657bebdbd75fbdaca07d57c2a5ae04085507,1,0xe71d06e3fe848433a2bbf446e4312ba6475c9ab8
"('0x4f3b090458a1875719dab4e70dab5140816b759cf71b9077455d25fe9185dbef', 130)",0x8e3b66ed6865ce6ac5a9c64e5099e86c7cdab6be,542,0x79c912fef520be002c2b6e57ec4324e260f38e50
"('0x40afea20dc36d6dba0f9e0fe239523b1f1a4b4cd6ecf65bab8e26b25b665389a', 12)",0xec8b0f7ffe3ae75d7ffab09429e3675bb63503e4,27,0x50a29ed2f347f8f3ea60b90e12e160e21c611514
"('0x1428c3f37de94213391558f0441ce475761ccdb0b3198e06570bef9b458b8fc6', 6)",0xec8b0f7ffe3ae75d7ffab09429e3675bb63503e4,269,0x50a29ed2f347f8f3ea60b90e12e160e21c611514
"('0x5f6b923c841b385fcee1a20658ec3c72eccfb3d900c450d72c4a29ef57338cfe', 18)",0xd1778f9df3eee5473a9640f13682e3846f61febc,190,0xafea5601b0a894451955355e79ad3026515e500d
"('0x0e7c2eaf1c12d41c45dc96610cf935ffbeac36134983b4f775b0da0761bfcf7f', 0)",0xa7bb0d95c6ba0ed0aca70c503b34bc7108589a47,4,0xa7b20c746d141223f4982a61e4bd380a73fdd7dd
"('0x12431ecd1ec4ef5255b5fdadc99806ae4abff79e8972f1d1637df684301dc42d', 68)",0xa7bb0d95c6ba0ed0aca70c503b34bc7108589a47,39,0xa7bf7236e90ba5474946489e523972eb31b8a268
"('0x86d9c3b6fb92bc822178ac690eb9e7bc771ae43ba01b5be02defa496346c0f4c', 8)",0xa3128d9b7cca7d5af29780a56abeec12b05a6740,11,0xa31d634996164cbdad85b09a850d137ad31fef1e
"('0xfe7bdabe590d7d523547959cbdcf8c324c95750bc346e6418dce923247bd20d5', 2)",0x4aec8a3b6ced97887ae3eeface1e47ba4f7e4a26,502,0xa7bb0d95c6ba0ed0aca70c503b34bc7108589a47
"('0x891ba77c8638450fbd4c42f955484614c54b467d273f16a5a46ec6818bff6b8f', 46)",0x03a9dc118b231480058e7a3b051042ec83663794,114,0xafea5601b0a894451955355e79ad3026515e500d
"('0x3a17aeb4f8d0ffad5ea2c39efbf21614b7d0f3cdfe5562120d1bcf9e6a951561', 32)",0xb0fc7612bbe59ce5967bb418e7207cd176ca7681,30,0xb0f73a534c38542019d4ac74aba87c8aede0561f
"('0xb0f73ef75aaa32f15731464927044bcc215b512c618d913c6522c3d987895ede', 16)",0x1111111254eeb25477b68fb85ed929f73a960582,419,0x03a9dc118b231480058e7a3b051042ec83663794
"('0xdc66d4e9515ab46c84ef5759afcb5eace0276b39c0e695902935eb98cce52302', 76)",0x8e3b66ed6865ce6ac5a9c64e5099e86c7cdab6be,216,0x79c912fef520be002c2b6e57ec4324e260f38e50
"('0xd4dbcff2fe35a377b959edab859707bd149819d35c871b8bdd198b9f93bc74de', 0)",0x1c11919bf744c25dbb9aba750b51b5b497e4618e,50,0x1c15017bee93fddabaaf56ff52100b9d23e90d39
"('0x874367df3c3a495c08ec9d71a9559998fbecfcbc4c400bc4c3e403a3f763a4ac', 184)",0x0000000002f4dd78ba85fe4b662983816c9ae95f,257,0x3ee9cdceffcb7ad611b87cb8e0f0745188330aee
"('0x2024caf90a1d68b88167eb8a64860d65ab44ca0486ba06227ecbce1dffe70c82', 76)",0x1111111254eeb25477b68fb85ed929f73a960582,205,0x2c3c237b697911f2ea9b0ff66b41b71b40cbfbc9
"('0xb57523053c34d4b0ee45b2dd33e1169ad5397b8158bbcd6c25ad3ca382519369', 242)",0x8e3b66ed6865ce6ac5a9c64e5099e86c7cdab6be,83,0x79c912fef520be002c2b6e57ec4324e260f38e50
"('0xbe2e47224ee07a6e4de9084d0acf6dc461a217902eece2d8f4b51111a2e2615f', 4)",0x03a9dc118b231480058e7a3b051042ec83663794,429,0xf0694acc9e941b176e17b9ef923e71e7b8b2477a
"('0xb6d3ce4c5198161768af1d6753e428f1cfa0c49658962ff9a70619a577682d14', 26)",0x1111111254eeb25477b68fb85ed929f73a960582,219,0x85c31ffa3706d1cce9d525a00f1c7d4a2911754c
"('0x27aafbcfcd666afb26c6beda42cceaf0191739ce603895868fa470ce275be046', 92)",0x8e3b66ed6865ce6ac5a9c64e5099e86c7cdab6be,588,0x79c912fef520be002c2b6e57ec4324e260f38e50
"('0x13dd9a2c196612e42575d6d75dc1177ad3cf5f09b0a6ffe04213962824546913', 2)",0xe710657bebdbd75fbdaca07d57c2a5ae04085507,7,0xe71d17544f568340e8674e9906741a78a1194e01
"('0xd19ffb989788d36613b8112000101f926514de244b784b120a2305a0d2f214b2', 12)",0x1111111254eeb25477b68fb85ed929f73a960582,161,0x85c31ffa3706d1cce9d525a00f1c7d4a2911754c
"('0x28e6a95c01e456922f9c421379ebdb37f7bd86baaf6e27e2abbd3049138f13b8', 152)",0x8e3b66ed6865ce6ac5a9c64e5099e86c7cdab6be,98,0x79c912fef520be002c2b6e57ec4324e260f38e50
"('0xec1a04e3b61a3df7981dbf4a9fae73e43ce25c0554abbaf636f09552acf43ee3', 26)",0x03a9dc118b231480058e7a3b051042ec83663794,65,0xafea5601b0a894451955355e79ad3026515e500d
"('0xb35e35d46b5b178a58948c0f1127999fb7cc840b264e5b3ddad62918dbcf8c37', 6)",0x1111111254760f7ab3f16433eea9304126dcd199,64,0x0893e340ee2b0263ddad2f3b8bd23dba11859aea
"('0xceb335834f81093f3fb091ed844367fccd667fdec265106163a399e554ca7101', 16)",0x1111111254eeb25477b68fb85ed929f73a960582,373,0x394a9fcbab8599437d9ec4e5a4a0eb7cb1fd2f69
"('0x874367df3c3a495c08ec9d71a9559998fbecfcbc4c400bc4c3e403a3f763a4ac', 186)",0x0000000002f4dd78ba85fe4b662983816c9ae95f,262,0x3ee9cdceffcb7ad611b87cb8e0f0745188330aee
"('0xbce3120aa2a5d0a921a0589a415a7ed343249ecd58c8330625f9581b90d94d6f', 10)",0xd1778f9df3eee5473a9640f13682e3846f61febc,365,0xb63aae6c353636d66df13b89ba4425cfe13d10ba
"('0x12e3d42edb795eddc2fbf7370922adff739b12725fdedae0c43ddf31fdd4a6bf', 8)",0x1111111254eeb25477b68fb85ed929f73a960582,167,0x03a9dc118b231480058e7a3b051042ec83663794
"('0xc5f3ef2a5e85083bdc8beb3907e169f1d2133e57d62f6ace84761657db700f63', 6)",0x1111111254760f7ab3f16433eea9304126dcd199,347,0x0843e0f56b9e7fdc4fb95fabba22a01ef4088f41
"('0x3e0d572d4b06a34c023b41e6acf24d4fd6e2e7d42af843eaa56397647671ba04', 24)",0xc80552aaa29a0aaae4c1b7283b4a7cfb520e7aec,63,0x82b3634c0518507d5d817be6dab6233ebe4d68d9
"('0xd735adddcb998939b2e68f370bb5728fe28bf452c146089f6f786c53d952ea9e', 14)",0x4c5d5234f232bd2d76b96aa33f5ae4fcf0e4bfab,197,0x95d9d28606ee55de7667f0f176ebfc3215cfd9c0
"('0xbfe2faa11e19204467a47b77adec719a41c715d8b880fe2a48d25afbeba8a883', 14)",0x17547215d96696de1e1c8a9791d6da18f92045af,559,0x6e57b9e54ea043a829584b22182ad22bf446926c
"('0x8dd689af7d09df7cd3764a36f191d14ec4281f31c0c1ac2a9f6ddc257524bc62', 40)",0xa7bb0d95c6ba0ed0aca70c503b34bc7108589a47,103,0xa7bf7236e90ba5474946489e523972eb31b8a268
"('0xc7487cd001c11deb189d256fb777809e88d7e6382fb482ddb25093e116a8f1d0', 10)",0xacd259134b3440fe4110f78fb67a8dfa83b0866b,58,0xd06f9e128c9ca2c2831e754f3be7d26a8eb28fed
"('0x93159d672b9c2f6499397eaaf41457b0e79ca3f868f4bad0e5a7c8970fc606bf', 0)",0xa7bb0d95c6ba0ed0aca70c503b34bc7108589a47,26,0xa7ba85a52b7a6c9c73cf0c64ea4312e666392813
"('0xd834e0b282db21f016eeceffc67437fc9ebd96d57c34e46d8059b55248f533f1', 234)",0x8e3b66ed6865ce6ac5a9c64e5099e86c7cdab6be,462,0x79c912fef520be002c2b6e57ec4324e260f38e50
"('0xc6ef487cc74e06cf961e6fff2fc03aa3b318a4b6e5e898e1eea76d63eb05048f', 6)",0xc3d752cab49104889ff0a1a241979dcdb951ac8e,327,0xd4344ea0c5ade7e22b9b275f0bde7a145dec5a23
"('0x20d49e98045670887f88db5a1add7d0ecdf2230886aefc46371007cec0756ed3', 128)",0x8e3b66ed6865ce6ac5a9c64e5099e86c7cdab6be,210,0x79c912fef520be002c2b6e57ec4324e260f38e50
"('0x11ff818872d4581f66eabbb9b753ec4428a41b4a622950332e190ee4d837ed60', 20)",0x927c5470bd59a9070d6e3af92326bffb384ea9bd,204,0xa7bb0d95c6ba0ed0aca70c503b34bc7108589a47
"('0x0a4be8b2fd61fd4ccfcbb53cd16238688ac9729b65699594120c0fba89291079', 0)",0x6168ec836d0b1f0c37381ec7ed1891a412872121,5,0x6168d6235dcf09b0fb45b60b890f4e8092204cfe
"('0x52e5946f1d9724cc1a215e4b62bb1ead6499ef0937f3acb942e3f35084f9b0eb', 194)",0x8e3b66ed6865ce6ac5a9c64e5099e86c7cdab6be,508,0x79c912fef520be002c2b6e57ec4324e260f38e50
"('0xcfdec11f9117b7160072bccd5ddeb40808b38bd04c885bb7c7693e1fffd59e53', 124)",0x8e3b66ed6865ce6ac5a9c64e5099e86c7cdab6be,254,0x79c912fef520be002c2b6e57ec4324e260f38e50
"('0x0a97289310a6bd8f1dcfb646187abf51012f493a8455e8c5df6ea23941986a75', 8)",0xa7bb0d95c6ba0ed0aca70c503b34bc7108589a47,136,0xa7b98aadc78c19af97dc09a267d4772bcca8260f
"('0xb29e336b412be84b9041b0cf491564d3756604c0b937682a24192ee7d500cc1c', 274)",0x8e3b66ed6865ce6ac5a9c64e5099e86c7cdab6be,56,0x79c912fef520be002c2b6e57ec4324e260f38e50
"('0x61f341af9bf51f43cd5203e569d153afc9905732e199ed93c0ad802e66890aad', 170)",0x8e3b66ed6865ce6ac5a9c64e5099e86c7cdab6be,222,0x79c912fef520be002c2b6e57ec4324e260f38e50
"('0xce42acd1590bc06c408b22285b9290e2f6235dfce1af6dba0d07f3669facf14a', 0)",0xa7bb0d95c6ba0ed0aca70c503b34bc7108589a47,1,0xa7b3d7cf26487dd6110bf6e48582f565f3f1bab7
"('0x3c345033a3419429ce48fc113e98251c0a31c93733768bceeb8ea7b2a389d601', 46)",0x00000000063e0e1e06a0fe61e16be8bdec1bea31,383,0x73b14a78a0d396c521f954532d43fd5ffe385216
"('0xc11560b45ace26e176180a0720f218438cc3c896b9818a363e294f2367df5481', 0)",0xdecc0c09c3b5f6e92ef4184125d5648a66e35298,551,0xdec38b0c755a7cd69d176ef0cd9d30a2a2a667b2
"('0x44e01b227d7a25e41a3cc1db4d9c27de7a4059b4fd27a078657a2efee0e3a18b', 8)",0x56b958bbd0b730add45e6ddedcb79bdaf18f15c7,7,0xa7bb0d95c6ba0ed0aca70c503b34bc7108589a47
"('0x50d9aa7e523659920ab62ac722831fae6a1c5e6ff931198b6c80643277b45cbd', 16)",0x7416db2e7469d678558746e09fc707ed95f25cef,349,0xa7bb0d95c6ba0ed0aca70c503b34bc7108589a47
"('0xdc15ccd4bf4492564d98fcb032c0ba533b2a4deb3f3021099edfb40016a5b2de', 68)",0x8e3b66ed6865ce6ac5a9c64e5099e86c7cdab6be,253,0x79c912fef520be002c2b6e57ec4324e260f38e50
"('0x51c25f912aa71551958d9ff807283f13147bf0de4cce765077fdc8df4faf2111', 2)",0x5130f6ce257b8f9bf7fac0a0b519bd588120ed40,193,0xafea5601b0a894451955355e79ad3026515e500d
"('0x99445ea93df8370c958949c4915de44c5c1785abcc6e9f0ac83bb378c9f3cdd6', 242)",0x8e3b66ed6865ce6ac5a9c64e5099e86c7cdab6be,15,0x79c912fef520be002c2b6e57ec4324e260f38e50
"('0x8e158ccb0ac38a3fe76072658ec8d3d109d9e822720205a85d9359b1992237df', 16)",0x8ede9ec79243be13fc0f24ba9ccc492480a9df53,93,0xdecc0c09c3b5f6e92ef4184125d5648a66e35298
"('0x596f1754679fb37125f4ce5672ff85048f80c2a26a864f7d459530446abdaa47', 56)",0xa7bb0d95c6ba0ed0aca70c503b34bc7108589a47,11,0xa7bf7236e90ba5474946489e523972eb31b8a268
"('0x127a57da124051550b914a9a78218c404aba357bea7fabca44d38077f943794d', 46)",0xd1778f9df3eee5473a9640f13682e3846f61febc,80,0xafea5601b0a894451955355e79ad3026515e500d
"('0x1b20c2320077a2bc1a57469b4338e59220842801aeeb5f71489dd5c26ecf26ec', 10)",0x1111111254eeb25477b68fb85ed929f73a960582,110,0x03a9dc118b231480058e7a3b051042ec83663794
"('0x44627ebcc3cb194d92e7bfa4f77e41c56422af005efe06880320a73e520d4462', 0)",0xdecc0c09c3b5f6e92ef4184125d5648a66e35298,429,0xdec38b0c755a7cd69d176ef0cd9d30a2a2a667b2
"('0x3103d3d451055bf89deec6a3f551f5106169c4a41f75f579824beaf62c2dc0dc', 80)",0x73b14a78a0d396c521f954532d43fd5ffe385216,127,0x3040387c46e21b453e4a8f648528368b9066628b
"('0x3bf2db8eb691c473e694e4e676c001a41023ab8a5d20b092f2365e8e7a2f9dfc', 148)",0x03a9dc118b231480058e7a3b051042ec83663794,181,0xe592427a0aece92de3edee1f18e0157c05861564
"('0x8b2c72f30de7f84f7ab2c477ae19a6549f3ac2076a05928d7810e99d39276f16', 6)",0x95d9d28606ee55de7667f0f176ebfc3215cfd9c0,372,0x4c5d5234f232bd2d76b96aa33f5ae4fcf0e4bfab
"('0x5a1b31fffc5955799b0891e41cd55309934dd1ff811db07988c1e7ee5a960429', 20)",0x4bf65e654fb3291b82b72632808aaef5e9816799,348,0x9df152ec3edcd3b02a823213a583deb3a4fffbbe
"('0x823b4ab0d961ba6adb88fb30ccb1d8945d02568dbf6d4a0aae5ed62ad1c579af', 4)",0xa7bb0d95c6ba0ed0aca70c503b34bc7108589a47,1,0xa7b3a7dc5a248e5b13e50277af3447557229f91c
"('0x8eb90d329c4ab3c2747f16bbd320f27affdfdb87750954f6b90e15450fbf6215', 16)",0xe710657bebdbd75fbdaca07d57c2a5ae04085507,2,0x953fb82f49a048db26e01961335440181b0e51f0
"('0x27587d259c216e70969f4aecc98dcb144c184d0934a07ed09fe3e6c94a28f185', 0)",0xdecc0c09c3b5f6e92ef4184125d5648a66e35298,246,0xdec38b0c755a7cd69d176ef0cd9d30a2a2a667b2
"('0x6f0cb1f18d24c167af941d9f96566871292ebfd82d90203d2139edd24979b2d1', 68)",0x8e3b66ed6865ce6ac5a9c64e5099e86c7cdab6be,5,0x79c912fef520be002c2b6e57ec4324e260f38e50
"('0xcf6f1cbfb94466963aa842ac5424ccd9b2efdf1631758ee0bc336c5098eef106', 8)",0xec8b0f7ffe3ae75d7ffab09429e3675bb63503e4,154,0xe751378ec5e5c0b64c4d16a077e8f11fbcfc958a
"('0x4ef1221b8c76a91b6552e0761ba3b286b62709c85c3202a6dd07314a1b4a9e90', 10)",0xf82ccecdc5e268d1833786c1338c3c502888cb90,211,0xa7bb0d95c6ba0ed0aca70c503b34bc7108589a47
"('0x47a72756fa675b4b097a3ba566d892f82eb62658c24014d4144bdca70b3e4b97', 4)",0xe710657bebdbd75fbdaca07d57c2a5ae04085507,3,0xe7111976e12c63c48ff9670a28728e61482085b2
"('0xc57fa0f54e78f9623817027b356981616000233bbde5c45dde3fa566b194a444', 46)",0xa7bb0d95c6ba0ed0aca70c503b34bc7108589a47,7,0xa7b9377f556fd060c2a94063bf5ce32d812aa3d2
